Player,Squad,scouting_url
Himad Abdelli,Angers,
Che Adams,Torino,
Oladapo Afolayan,St. Pauli,
Alfon,Celta Vigo,
Domingos André Ribeiro Almeida,Valencia,
Julián Álvarez,Atlético Madrid,
Mohamed Amoura,Wolfsburg,
Marcos André,Valladolid,
Antoniu,Espanyol,
Anuar,Valladolid,
Adam Armstrong,Southampton,
Hákon Arnar Haraldsson,Lille,
Jann-Fiete Arp,Holstein Kiel,
Yaser Asprilla,Girona,
Ezequiel Ávila,Betis,
André Ayew,Le Havre,
Leon Bailey,Aston Villa,
Theo Bair,Auxerre,
Cédric Bakambu,Betis,
Thierno Barry,Villarreal,
Yassin Belkhdim,Angers,
Jean-Ricner Bellegarde,Wolves,
Lucas Beltrán,Fiorentina,
László Bénes,Union Berlin,
Saïd Benrahma,Lyon,
Álex Berenguer,Athletic Club,
Mika Biereth,Monaco,
Augustine Boakye,Saint-Étienne,
Ange-Yoan Bonny,Parma,
Rémy Cabella,Lille,
Mathieu Cafaro,Saint-Étienne,
Dominic Calvert-Lewin,Everton,
Josué Casimir,Le Havre,
Valentín Castellanos,Lazio,
Fares Chaïbi,Eint Frankfurt,
Conor Chaplin,Ipswich Town,
Jack Clarke,Ipswich Town,
Alexis Claude-Maurice,Augsburg,
Francisco Conceição,Juventus,
Tomás Conechny,Alavés,
Sirlord Conteh,Heidenheim,
Ángel Correa,Atlético Madrid,
Coba da Costa,Getafe,
Patrick Cutrone,Como,
Tomáš Čvančara,Gladbach,
Zuriko Davitashvili,Saint-Étienne,
Liam Delap,Ipswich Town,
Fisayo Dele-Bashiru,Lazio,
Ousmane Dembélé,Paris S-G,
Ermedin Demirović,Stuttgart,
Oumar Diakité,Reims,
Brahim Díaz,Real Madrid,
Luis Díaz,Liverpool,
Tyler Dibling,Southampton,
Diego,Leganés,
Eren Dinkçi,Freiburg,
Álvaro djaló,Athletic Club,
Benjamín Domínguez,Bologna,
Nicolás Domínguez,Nott'ham Forest,
Désiré Doué,Paris S-G,
Jáder Durán,Aston Villa,
Pablo Durán,Celta Vigo,
Johannes Eggestein,St. Pauli,
Chidera Ejuke,Sevilla,
Jeff Ekhator,Genoa,
Sebastiano Esposito,Empoli,
Samuel Essende,Augsburg,
Evanilson,Bournemouth,
Abde Ezzalzouli,Betis,
Abdul Fatawu Issahaku,Leicester City,
Mattia Felici,Cagliari,
Zinedine Ferhat,Angers,
Matias Fernandez-Pardo,Lille,
Chris Führich,Stuttgart,
Manuel Fuster,Las Palmas,
Álvaro García,Rayo Vallecano,
Rubén García,Osasuna,
Jamie Gittens,Dortmund,
Dani Gómez,Valencia,
Moi Gómez,Osasuna,
Unai Gómez,Athletic Club,
Nicolás González,Juventus,
Mario Götze,Eint Frankfurt,
Marco Grüll,Werder Bremen,
Albert Grønbaek,Rennes,
Gonçalo Guedes,Wolves,
Arda Güler,Real Madrid,
Albert Guðmundsson,Fiorentina,
Phil Harres,Holstein Kiel,
Hwang Hee-chan,Wolves,
Son Heung-min,Tottenham,
Adam Hložek,Hoffenheim,
Lucas Höler,Freiburg,
Callum Hudson-Odoi,Nott'ham Forest,
Omari Hutchinson,Ipswich Town,
Rasmus Højlund,Manchester Utd,
George Ilenikhena,Monaco,
Raúl Jiménez,Fulham,
João Pedro,Brighton,
Jofre,Espanyol,
Vinicius Júnior,Real Madrid,
Lee Kang-in,Paris S-G,
Kiké,Alavés,
Koka,Le Havre,
Christian Kouamé,Fiorentina,
Andrej Kramarić,Hoffenheim,
Frans Krätzig,Heidenheim,
Nikola Krstović,Lecce,
Rémy Labeau Lascary,Lens,
Gaëtan Laborde,Nice,
Rafael Leão,Milan,
Félix Lemaréchal,Strasbourg,
Esteban Lepaul,Angers,
Jesper Lindstrøm,Everton,
Dailon Livramento,Hellas Verona,
Diego López,Valencia,
Fermin López,Barcelona,
Shuto Machino,Holstein Kiel,
Dennis Man,Parma,
Sekou Mara,Strasbourg,
Carlos Martín,Alavés,
Lautaro Martínez,Inter,
Toni Martínez,Alavés,
Jean-Philippe Mateta,Crystal Palace,
Stephy Mavididi,Leicester City,
Samuel Mbangula,Juventus,
Kylian Mbappé,Real Madrid,
John McGinn,Aston Villa,
Farid El Melali,Angers,
Valentin Mihaila,Parma,
Bojan Miovski,Girona,
Álvaro Morata,Milan,
Tete Morente,Lecce,
Raúl Moro,Valladolid,
Daniel Mosquera,Hellas Verona,
Thomas Müller,Bayern Munich,
Nathan N'Goumou,Gladbach,
Sebastian Nanasi,Strasbourg,
David Neres,Napoli,
Ibrahima Niane,Angers,
Darwin Núñez,Liverpool,
M'Bala Nzola,Lens,
Ado Onaiwu,Auxerre,
Paul Onuachu,Southampton,
Loïs Openda,RB Leipzig,
Isaac Palazón Camacho,Rayo Vallecano,
Lucas Paquetá,West Ham,
Nicolás Paz,Como,
Nicolas Pépé,Villarreal,
Peque,Sevilla,
Ayoze Pérez,Villarreal,
Carles Pérez,Getafe,
Gaëtan Perrin,Auxerre,
Benedikt Pichler,Holstein Kiel,
Alassane Pléa,Gladbach,
Joel Pohjanpalo,Venezia,
Javi Puado,Espanyol,
Dani Raba,Leganés,
Sandro Ramírez,Las Palmas,
Gonçalo Ramos,Paris S-G,
Jacob Ramsey,Aston Villa,
Raúl,Osasuna,
Ante Rebić,Lecce,
Álvaro Rodríguez,Getafe,
Óscar Rodríguez Arnaiz,Leganés,
Dani Rodríguez,Mallorca,
Jesus Rodríguez,Betis,
Morgan Rogers,Aston Villa,
Merlin Röhl,Freiburg,
Isaac Romero,Sevilla,
Jon Rowe,Marseille,
Abel Ruiz,Girona,
Georginio Rutter,Brighton,
Elias Saad,St. Pauli,
Wesley Saïd,Lens,
Mama Samba Baldé,Brest,
Iván Sánchez,Valladolid,
Leroy Sané,Bayern Munich,
Sávio,Manchester City,
Léo Scienza,Heidenheim,
Benjamin Šeško,RB Leipzig,
Armindo Sieb,Mainz 05,
Fábio Silva,Las Palmas,
Jota Silva,Nott'ham Forest,
Abdallah Sima,Brest,
Danel Sinani,St. Pauli,
Lassine Sinayoko,Auxerre,
Ibrahim Sissoko,Saint-Étienne,
Steven Skrzybski,Holstein Kiel,
Matìas Soulé,Roma,
Issa Soumaré,Le Havre,
Lucas Stassin,Saint-Étienne,
Orri Steinn Óskarsson,Real Sociedad,
Kevin Stöger,Gladbach,
Stoichkov,Alavés,
Jørgen Strand Larsen,Wolves,
Kamaldeen Sulemana,Southampton,
Crysencio Summerville,West Ham,
Tomáš Suslov,Hellas Verona,
Sammie Szmodics,Ipswich Town,
Alexander Sørloth,Atlético Madrid,
Musa Al-Taamari,Montpellier,
Haris Tabakovic,Hoffenheim,
Mehdi Taremi,Inter,
Casper Tengstedt,Hellas Verona,
Sorba Thomas,Nantes,
Tiago Tomás,Wolfsburg,
Ferrán Torres,Barcelona,
Adama Traoré,Fulham,
Chrisantus Uche,Getafe,
Can Uzun,Eint Frankfurt,
Jamie Vardy,Leicester City,
Alejo Véliz,Espanyol,
Dušan Vlahović,Juventus,
Nikola Vlašić,Torino,
Paul Wanner,Heidenheim,
Ollie Watkins,Aston Villa,
Noah Weißhaupt,St. Pauli,
Iñaki Williams,Athletic Club,
Jeong Woo-yeong,Union Berlin,
John Yeboah,Venezia,
Bertuğ Yıldırım,Getafe,
Kenan Yıldız,Juventus,
Duván Zapata,Torino,
Budu Zivzivadze,Heidenheim,
Milan Đurić,Monza,
